onset	duration	trial_type	eye_onset
0.5083193674	0.1	106	13983310
0.5103109076	2.4	109	13983311
3.1033163562	0.1	106	13983340
3.1633140191	2.3	109	13983345
5.6543184116	0.1	106	13983389
5.7143160745	2.2	109	13983390
8.1013178124	0.1	106	13983440
8.1613154753	2.3	109	13983441
10.6513140395	0.1	106	13983483
10.7113117024	2.4	109	13983484
13.304317151	0.1	106	13983516
13.3643148139	2.2	109	13983517
15.7513165518	0.1	107	13983575
15.8113142147	2.4	109	13983576
18.404309605	0.1	107	13983644
18.4643173262	2.4	109	13983645
21.0583185449	0.1	106	13983692
21.1183162078	2.2	109	13983693
23.5053179457	0.1	108	13983695
23.5653156086	2.2	109	13983696
25.9523173466	0.1	106	13983759
26.0123150095	2.3	109	13983762
28.5023135736	0.1	106	13983783
28.5623112365	2.2	109	13983784
30.9493129745	0.1	106	13983786
31.0093106374	2.2	109	13983787
33.3963123753	0.1	106	13983789
33.4563100382	2.2	109	13983790
35.8433117762	0.1	108	13983859
35.9033094391	2.3	109	13983860
38.3943138316	0.1	106	13983920
38.4543114945	2.4	109	13983921
41.047316943	0.1	106	13983940
41.107314606	2.2	109	13983941
43.4943163439	0.1	106	13983959
43.5543140068	2.2	109	13983960
45.9413157448	0.1	106	13983962
46.0013134077	2.4	109	13983963
48.5943188562	0.1	106	13983965
48.6543165191	2.3	109	13983966
51.1443150833	0.1	106	13984007
51.2043127462	2.4	109	13984012
53.7983139648	0.1	107	13984048
53.8583116277	2.3	109	13984050
56.3483101919	0.1	106	13984103
56.4083179131	2.4	109	13984104
59.0013133034	0.1	107	13984164
59.0613109663	2.4	109	13984167
61.6543164148	0.1	106	13984219
61.7143140777	2.3	109	13984220
64.2043126419	0.1	108	13984257
64.2643103048	2.3	109	13984258
66.7543189272	0.1	106	13984270
66.8143165901	2.3	109	13984271
69.3053109243	0.1	106	13984273
69.3653186455	2.2	109	13984274
71.7523103251	0.1	106	13984294
71.8123180463	2.2	109	13984296
74.199309726	0.1	108	13984352
74.2593174472	2.3	109	13984355
76.7493160113	0.1	106	13984401
76.8093136742	2.4	109	13984402
79.4023191228	0.1	106	13984444
79.4623167857	2.3	109	13984445
81.9523153498	0.1	108	13984481
82.0123130127	2.4	109	13984486
84.6063142314	0.1	106	13984516
84.6663118943	2.4	109	13984521
87.2593173429	0.1	106	13984549
87.3193150058	2.3	109	13984554
89.8093135699	0.1	106	13984598
89.8693112328	2.4	109	13984599
92.4623166814	0.1	106	13984639
92.5223143443	2.2	109	13984642
94.9093160822	0.1	108	13984678
94.9693137451	2.2	109	13984679
97.3563154831	0.1	106	13984724
97.416313146	2.4	109	13984725
100.0103143647	0.1	107	13984770
100.0703120276	2.3	109	13984771
102.5603105917	0.1	106	13984807
102.6203183129	2.4	109	13984808
105.2133137032	0.1	107	13984824
105.2733113661	2.3	109	13984828
107.7633099302	0.1	106	13984885
107.8233176514	2.3	109	13984890
110.3133162155	0.1	108	13984956
110.3733138784	2.4	109	13984957
112.966319327	0.1	106	13985010
113.0263169899	2.4	109	13985012
115.6203182086	0.1	106	13985060
115.6803158715	2.2	109	13985063
118.0673176094	0.1	106	13985090
118.1273152723	2.3	109	13985091
120.6173138365	0.1	108	13985132
120.6773114994	2.2	109	13985133
123.0643132373	0.1	107	13985189
123.1243109002	2.4	109	13985190
125.7173163488	0.1	106	13985201
125.7773140117	2.3	109	13985202
128.2673125758	0.1	106	13985204
128.3273102387	2.2	109	13985205
130.7143119767	0.1	107	13985233
130.7743096396	2.4	109	13985235
133.3683108582	0.1	106	13985318
133.4283185794	2.4	109	13985319
136.0213139697	0.1	106	13985352
136.0813116326	2.3	109	13985353
138.5713101968	0.1	106	13985379
138.6313179179	2.3	109	13985380
141.1213164821	0.1	106	13985398
141.181314145	2.2	109	13985399
143.5683158829	0.1	106	13985419
143.6283135458	2.3	109	13985420
146.1183121099	0.1	106	13985422
146.1783097728	2.3	109	13985423
148.6693141654	0.1	107	13985431
148.7293118283	2.2	109	13985432
151.1163135662	0.1	108	13985440
151.1763112291	2.4	109	13985441
153.7693166777	0.1	106	13985443
153.8293143406	2.2	109	13985444
156.2163160785	0.1	106	13985452
156.2763137414	2.4	109	13985453
158.86931919	0.1	108	13985473
158.9293168529	2.3	109	13985474
161.4193154171	0.1	106	13985486
161.47931308	2.2	109	13985487
163.867310588	0.1	106	13985497
163.9273183092	2.2	109	13985498
166.3143099889	0.1	107	13985524
166.37431771	2.3	109	13985527
168.8643162742	0.1	106	13985545
168.9243139371	2.4	109	13985546
171.5173193856	0.1	108	13985558
171.5773170485	2.4	109	13985559
174.1703124388	0.1	108	13985581
174.2303101017	2.3	109	13985582
176.7203187242	0.1	107	13985628
176.7803163871	2.3	109	13985629
179.2713107213	0.1	106	13985644
179.3313184425	2.4	109	13985645
181.9243138328	0.1	106	13985681
181.9843114957	2.4	109	13985682
184.5773169442	0.1	106	13985684
184.6373146071	2.2	109	13985685
187.0243163451	0.1	106	13985718
187.084314008	2.3	109	13985719
189.5743125721	0.1	106	13985773
189.634310235	2.3	109	13985774
192.1243188574	0.1	107	13985832
192.1843165203	2.2	109	13985833
