onset	duration	trial_type	eye_onset
0.5069923279	0.1	106	5724388
0.5089939264	2.3	109	5724389
2.9949892936	0.1	106	5724403
3.0549970148	2.2	109	5724404
5.4419987527	0.1	106	5724426
5.5019964156	2.2	109	5724427
7.8889981536	0.1	106	5724433
7.9489958165	2.2	109	5724434
10.3359975544	0.1	106	5724448
10.3959952173	2.3	109	5724449
12.8859937814	0.1	106	5724459
12.9459914443	2.3	109	5724460
15.4359900085	0.1	106	5724482
15.4959977297	2.2	109	5724483
17.8829894093	0.1	106	5724505
17.9429971305	2.3	109	5724506
20.4339914647	0.1	106	5724520
20.4939891276	2.3	109	5724521
22.98399775	0.1	108	5724535
23.0439954129	2.3	109	5724536
25.5339939771	0.1	108	5724542
25.59399164	2.2	109	5724543
27.9809933779	0.1	106	5724561
28.0409910408	2.3	109	5724562
30.5309896049	0.1	107	5724564
30.5909973261	2.2	109	5724565
32.9779890058	0.1	106	5724577
33.037996727	2.4	109	5724578
35.6309921173	0.1	107	5724580
35.6909897802	2.3	109	5724581
38.1809984026	0.1	106	5724595
38.2409960655	2.4	109	5724596
40.8349972842	0.1	106	5724606
40.8949949471	2.4	109	5724607
43.4879903374	0.1	106	5724621
43.5479980586	2.2	109	5724622
45.9349897382	0.1	106	5724636
45.9949974594	2.3	109	5724641
48.4849960235	0.1	108	5724657
48.5449936864	2.2	109	5724658
50.9319954244	0.1	106	5724673
50.9919930873	2.4	109	5724676
53.5849985359	0.1	106	5724723
53.6449961988	2.2	109	5724724
56.0319979367	0.1	106	5724750
56.0919955996	2.3	109	5724751
58.5829899338	0.1	106	5724777
58.642997655	2.4	109	5724778
61.2359930453	0.1	107	5724804
61.2959907082	2.3	109	5724805
63.7859892724	0.1	106	5724831
63.8459969935	2.2	109	5724832
66.2329987315	0.1	107	5724846
66.2929963944	2.2	109	5724847
68.6799981323	0.1	106	5724863
68.7399957952	2.2	109	5724865
71.1269975332	0.1	106	5724882
71.1869951961	2.2	109	5724883
73.5739969341	0.1	108	5724897
73.633994597	2.4	109	5724900
76.2269899873	0.1	107	5724914
76.2869977084	2.3	109	5724915
78.7779920427	0.1	106	5724939
78.8379897056	2.3	109	5724940
81.327998328	0.1	106	5724970
81.3879959909	2.4	109	5724971
83.9809913812	0.1	107	5724997
84.0409991024	2.3	109	5724998
86.5309976665	0.1	106	5725008
86.5909953294	2.2	109	5725009
88.9779970673	0.1	106	5725015
89.0379947302	2.3	109	5725016
91.5279932944	0.1	108	5725025
91.5879909573	2.3	109	5725026
94.0779895214	0.1	108	5725035
94.1379972426	2.3	109	5725040
96.6289915768	0.1	106	5725052
96.6889892397	2.2	109	5725053
99.0759909776	0.1	106	5725057
99.1359986988	2.2	109	5725059
101.5229903785	0.1	106	5725068
101.5829980997	2.4	109	5725069
104.17599349	0.1	106	5725079
104.2359911529	2.2	109	5725080
106.6229928908	0.1	108	5725086
106.6829905537	2.4	109	5725087
109.2759960023	0.1	107	5725093
109.3359936652	2.4	109	5725094
111.9289991138	0.1	106	5725108
111.9889967767	2.4	109	5725109
114.5829979954	0.1	106	5725123
114.6429956583	2.3	109	5725124
117.1329942224	0.1	108	5725170
117.1929918853	2.3	109	5725171
119.6829904494	0.1	106	5725185
119.7429981706	2.3	109	5725186
122.2329967347	0.1	106	5725208
122.2929943976	2.2	109	5725213
124.6799961356	0.1	106	5725259
124.7399937985	2.4	109	5725260
127.3329891888	0.1	106	5725282
127.39299691	2.2	109	5725283
129.7799986479	0.1	106	5725285
129.8399963108	2.3	109	5725288
132.329994875	0.1	106	5725302
132.3899925379	2.4	109	5725303
134.9839937565	0.1	107	5725331
135.0439914194	2.3	109	5725332
137.5339899836	0.1	107	5725338
137.5939977047	2.4	109	5725339
140.186993095	0.1	106	5725347
140.2469907579	2.3	109	5725348
142.7369893221	0.1	107	5725350
142.7969970433	2.2	109	5725351
145.1839987812	0.1	108	5725360
145.2439964441	2.2	109	5725361
147.6309981821	0.1	106	5725386
147.690995845	2.4	109	5725387
150.2839912353	0.1	106	5725397
150.3439989564	2.4	109	5725401
152.9379901168	0.1	108	5725410
152.997997838	2.3	109	5725411
155.4879964021	0.1	106	5725417
155.547994065	2.4	109	5725418
158.1409894553	0.1	106	5725430
158.2009971765	2.4	109	5725431
160.7939925668	0.1	106	5725437
160.8539902297	2.2	109	5725438
163.2409919677	0.1	106	5725454
163.3009896306	2.3	109	5725455
165.790998253	0.1	106	5725472
165.8509959159	2.4	109	5725473
168.4449971346	0.1	106	5725478
168.5049947975	2.4	109	5725479
171.0979901878	0.1	106	5725497
171.1579979089	2.4	109	5725498
173.7509932992	0.1	108	5725504
173.8109909621	2.3	109	5725505
176.3009895263	0.1	106	5725513
176.3609972475	2.4	109	5725514
178.9539926378	0.1	107	5725528
179.0139903007	2.4	109	5725529
181.6069957492	0.1	106	5725541
181.6669934121	2.3	109	5725542
184.1579978046	0.1	106	5725552
184.2179954675	2.2	109	5725553
186.6049972055	0.1	108	5725555
186.6649948684	2.4	109	5725556
189.2579902587	0.1	106	5725562
189.3179979799	2.3	109	5725567
191.807996544	0.1	106	5725573
191.8679942069	2.2	109	5725574
194.2549959449	0.1	107	5725576
194.3149936078	2.2	109	5725577
196.7019953457	0.1	106	5725583
196.7619930086	2.3	109	5725584
199.2519915727	0.1	106	5725614
199.3119892356	2.4	109	5725615
201.9049946842	0.1	107	5725649
201.9649923471	2.3	109	5725650
204.4559967396	0.1	107	5725668
204.5159944025	2.2	109	5725672
206.9029961405	0.1	106	5725701
206.9629938034	2.4	109	5725702
209.5559891937	0.1	106	5725720
209.6159969149	2.4	109	5725721
212.2089923052	0.1	106	5725755
212.2689899681	2.2	109	5725756
214.655991706	0.1	106	5725766
214.7159893689	2.2	109	5725767
217.1029911069	0.1	106	5725779
217.1629988281	2.2	109	5725780
219.5499905077	0.1	106	5725782
219.6099982289	2.2	109	5725783
221.9969899086	0.1	108	5725785
222.0569976298	2.4	109	5725786
224.6509988484	0.1	106	5725792
224.7109965113	2.2	109	5725793
227.0979982493	0.1	108	5725805
227.1579959122	2.3	109	5725806
229.6479944763	0.1	106	5725808
229.7079921392	2.2	109	5725809
232.0949938772	0.1	107	5725811
232.1549915401	2.4	109	5725812
234.7479969887	0.1	107	5725814
234.8079946516	2.3	109	5725815
237.2979932157	0.1	108	5725817
237.3579908786	2.4	109	5725818
239.9509963272	0.1	106	5725820
240.0109939901	2.2	109	5725821
242.3989914981	0.1	106	5725823
242.458989161	2.3	109	5725824
244.9489977834	0.1	106	5725830
245.0089954463	2.4	109	5725831
247.6019908366	0.1	106	5725833
247.6619985578	2.4	109	5725834
250.2549939481	0.1	108	5725840
250.314991611	2.4	109	5725841
252.9079970596	0.1	106	5725843
252.9679947225	2.4	109	5725844
255.5609901128	0.1	106	5725846
255.620997834	2.2	109	5725847
258.0079895136	0.1	106	5725873
258.0679972348	2.3	109	5725874
260.558991569	0.1	108	5725876
260.6189892319	2.2	109	5725877
263.0059909699	0.1	106	5725879
263.0659986911	2.2	109	5725880
265.4529903708	0.1	107	5725902
265.5129980919	2.3	109	5725903
268.0029966561	0.1	107	5725909
268.062994319	2.2	109	5725914
270.4499960569	0.1	106	5725924
270.5099937198	2.3	109	5725925
272.9999922839	0.1	106	5725935
273.0599899468	2.4	109	5725936
275.6529953954	0.1	106	5725964
275.7129930583	2.4	109	5725965
278.3059985069	0.1	106	5725991
278.3669919399	2.2	109	5725992
280.7539936779	0.1	106	5726036
280.8139913408	2.3	109	5726037
283.3039899049	0.1	108	5726043
283.3639976261	2.3	109	5726044
285.8539961902	0.1	106	5726054
285.9139938531	2.2	109	5726057
288.300995591	0.1	106	5726087
288.3609932539	2.4	109	5726088
290.9539987025	0.1	106	5726094
291.0139963654	2.4	109	5726095
293.6069917557	0.1	106	5726123
293.6669894186	2.3	109	5726124
296.156998041	0.1	106	5726136
296.2169957039	2.4	109	5726137
298.8109969226	0.1	106	5726139
298.8709945855	2.2	109	5726140
301.2579963235	0.1	106	5726142
301.3179939864	2.3	109	5726143
303.8079925505	0.1	106	5726145
303.8679902134	2.4	109	5726146
