onset	duration	trial_type	eye_onset
0.5073978024	0.1	106	18020008
0.5093994008	2.3	109	18020009
2.9933931695	0.1	106	18020041
3.0533908324	2.2	109	18020042
5.4403925704	0.1	106	18020060
5.5003902333	2.3	109	18020061
7.9903988557	0.1	106	18020071
8.0503965186	2.2	109	18020072
10.4383940266	0.1	106	18020086
10.4983916895	2.4	109	18020087
13.0913971381	0.1	106	18020109
13.151394801	2.4	109	18020112
15.7443901913	0.1	106	18020142
15.8043979125	2.4	109	18020143
18.3973933028	0.1	106	18020185
18.4573909657	2.2	109	18020186
20.8443927037	0.1	106	18020236
20.9043903666	2.4	109	18020237
23.4983915852	0.1	107	18020243
23.557393478	2.3	109	18020244
26.0483978705	0.1	107	18020278
26.1083955334	2.4	109	18020279
28.7013909237	0.1	108	18020307
28.7613986449	2.3	109	18020310
31.251397209	0.1	106	18020328
31.311394872	2.2	109	18020329
33.6983966099	0.1	106	18020359
33.7583942728	2.2	109	18020360
36.1453960108	0.1	106	18020388
36.2053936737	2.3	109	18020389
38.6953922378	0.1	106	18020435
38.7553899007	2.4	109	18020436
41.3493911194	0.1	106	18020450
41.4093988405	2.4	109	18020451
44.0023942308	0.1	108	18020509
44.0623918937	2.3	109	18020510
46.5523904579	0.1	106	18020544
46.6123981791	2.4	109	18020545
49.2053935694	0.1	108	18020551
49.2653912323	2.3	109	18020556
51.7553897964	0.1	106	18020581
51.8153975176	2.2	109	18020582
54.2023992555	0.1	106	18020594
54.2623969184	2.3	109	18020595
56.7533912526	0.1	108	18020620
56.8133989738	2.3	109	18020621
59.3033975379	0.1	106	18020631
59.3633952008	2.2	109	18020632
61.7503969388	0.1	106	18020642
61.8103946017	2.4	109	18020643
64.403389992	0.1	106	18020661
64.4633977132	2.3	109	18020662
66.9533962773	0.1	107	18020668
67.0133939402	2.4	109	18020671
69.6063993888	0.1	106	18020683
69.6663970517	2.2	109	18020684
72.0543945597	0.1	106	18020708
72.1133964525	2.2	109	18020709
74.5013939606	0.1	107	18020719
74.5613916235	2.4	109	18020720
77.1543970721	0.1	108	18020730
77.214394735	2.4	109	18020731
79.8073901253	0.1	106	18020755
79.8673978465	2.3	109	18020758
82.3573964106	0.1	106	18020770
82.4173940735	2.2	109	18020773
84.8043958114	0.1	106	18020793
84.8643934743	2.4	109	18020794
87.458394693	0.1	108	18020812
87.5173965858	2.4	109	18020813
90.1113978045	0.1	107	18020837
90.1713954674	2.4	109	18020838
92.7643908577	0.1	106	18020844
92.8243985789	2.4	109	18020845
95.4173939692	0.1	106	18020883
95.4773916321	2.4	109	18020884
98.0703970807	0.1	106	18020924
98.1303947436	2.3	109	18020925
100.6203933077	0.1	106	18020947
100.6803909706	2.2	109	18020952
103.0683985369	0.1	106	18020970
103.1283961998	2.2	109	18020971
105.5153979378	0.1	107	18021013
105.5753956007	2.2	109	18021014
107.9623973386	0.1	107	18021044
108.0223950015	2.3	109	18021045
110.5123935657	0.1	106	18021071
110.5723912286	2.2	109	18021072
112.9593929665	0.1	106	18021090
113.0193906294	2.4	109	18021091
115.612396078	0.1	106	18021129
115.6723937409	2.4	109	18021130
118.2653991895	0.1	106	18021162
118.3253968524	2.2	109	18021165
120.7133943604	0.1	106	18021223
120.7733920233	2.2	109	18021224
123.1603937613	0.1	106	18021262
123.2203914242	2.3	109	18021263
125.7103899883	0.1	106	18021265
125.7703977095	2.3	109	18021266
128.2603962736	0.1	106	18021292
128.3203939365	2.3	109	18021293
130.8103925006	0.1	108	18021331
130.8703901635	2.3	109	18021332
133.3603987859	0.1	108	18021374
133.4203964489	2.2	109	18021377
135.8073981868	0.1	107	18021405
135.8673958497	2.2	109	18021410
138.2553933578	0.1	106	18021448
138.3153910207	2.2	109	18021449
140.7023927586	0.1	106	18021455
140.7623904215	2.3	109	18021456
143.2523990439	0.1	108	18021458
143.3123967068	2.3	109	18021459
145.8023952709	0.1	106	18021493
145.8623929338	2.3	109	18021496
148.352391498	0.1	106	18021524
148.4123992192	2.4	109	18021527
151.0053946095	0.1	106	18021553
151.0653922724	2.2	109	18021554
153.4533897804	0.1	107	18021560
153.5133975016	2.3	109	18021561
156.0033960657	0.1	106	18021595
156.0633937286	2.4	109	18021596
158.6563991772	0.1	106	18021614
158.7163968401	2.4	109	18021615
161.3093922304	0.1	106	18021653
161.3693898933	2.2	109	18021654
163.7563916312	0.1	108	18021678
163.8163993524	2.2	109	18021681
166.2033910321	0.1	107	18021715
166.2633987533	2.3	109	18021716
168.7533973174	0.1	106	18021734
168.8133949803	2.4	109	18021735
171.407396199	0.1	107	18021769
171.4673938619	2.4	109	18021770
174.0603993105	0.1	106	18021776
174.1203969734	2.3	109	18021777
176.6103955375	0.1	107	18021795
176.6703932004	2.3	109	18021796
179.1603917645	0.1	106	18021802
179.2203994857	2.3	109	18021803
181.7103980498	0.1	108	18021829
181.7703957127	2.2	109	18021831
184.1573974507	0.1	106	18021874
184.2173951136	2.3	109	18021875
186.7083894478	0.1	106	18021909
186.768397169	2.3	109	18021910
189.2583957331	0.1	106	18021913
189.318393396	2.2	109	18021915
191.705395134	0.1	108	18021946
191.7653927969	2.2	109	18021947
194.1523945348	0.1	106	18021972
194.2123921977	2.3	109	18021973
196.7023907619	0.1	106	18022019
196.762398483	2.4	109	18022020
199.3553938733	0.1	106	18022050
199.4153915362	2.2	109	18022051
201.8023932742	0.1	106	18022053
201.8633967655	2.2	109	18022054
204.2503985034	0.1	106	18022072
204.3103961663	2.4	109	18022075
206.9033915566	0.1	106	18022099
206.9633992778	2.3	109	18022100
209.4533978419	0.1	106	18022114
209.5133955048	2.2	109	18022115
211.9003972428	0.1	106	18022125
211.9603949057	2.4	109	18022126
214.553390296	0.1	106	18022164
214.6133980172	2.4	109	18022165
217.2063934075	0.1	107	18022211
217.2663910704	2.2	109	18022212
219.6543986367	0.1	107	18022226
219.7143962996	2.4	109	18022227
222.3073916899	0.1	106	18022261
222.3673994111	2.2	109	18022262
224.7543910908	0.1	108	18022276
224.8143988119	2.2	109	18022277
227.2013904916	0.1	108	18022291
227.2613982128	2.2	109	18022292
229.6483898925	0.1	106	18022318
229.7083976136	2.2	109	18022319
232.0953993516	0.1	108	18022329
232.1553970145	2.3	109	18022330
