onset	duration	trial_type	eye_onset
0.6822538356	0.1	113	8569821
0.7432573268	2.3	116	8569822
2.558254523	0	117	8569823
3.233255891	0.1	113	8569831
3.2932535539	2.2	116	8569832
3.6382526884	0	117	8569833
5.6802552918	0.1	113	8569835
5.7402529547	2.2	116	8569836
6.0292576233	0	117	8569837
8.1272546927	0.1	113	8569849
8.1872523556	2.4	116	8569850
8.4292546639	0	117	8569851
10.7802578042	0.1	113	8569863
10.8402554671	2.4	116	8569864
11.1512576023	0	117	8569865
13.4332508574	0.1	113	8569873
13.4932585785	2.2	116	8569874
13.6822537313	0	117	8569875
15.8802603165	0.1	113	8569899
15.9402579794	2.2	116	8569900
16.2132599185	0	117	8569901
18.3282554874	0.1	113	8569925
18.3882531503	2.3	116	8569926
18.5932510326	0	117	8569927
20.8782517145	0.1	114	8569939
20.9382594357	2.3	116	8569940
21.2042608092	0	117	8569941
23.4282579998	0.1	113	8569955
23.4882556627	2.3	116	8569956
23.6952551434	0	117	8569957
25.9782542268	0.1	115	8569989
26.0382518897	2.2	116	8569990
26.5262597034	0	117	8569991
28.4252536277	0.1	113	8570005
28.4852512906	2.2	116	8570006
28.8072571883	0	117	8570007
30.8722530285	0.1	113	8570015
30.9322607497	2.2	116	8570016
31.1572545002	0	117	8570021
33.3192524294	0.1	113	8570041
33.3792601506	2.2	116	8570042
33.608257098	0	117	8570043
35.7672576586	0.1	113	8570055
35.8272553215	2.3	116	8570056
36.1002572606	0	117	8570057
38.3172538856	0.1	113	8570077
38.3772515485	2.3	116	8570078
38.5712557266	0	117	8570079
40.8672601709	0.1	114	8570091
40.9272578338	2.2	116	8570092
41.5222556124	0	117	8570097
43.3142595718	0.1	115	8570115
43.3742572347	2.4	116	8570116
43.8922588507	0	117	8570117
45.967252625	0.1	113	8570129
46.0272603462	2.3	116	8570130
46.4832526425	0	117	8570131
48.5172589103	0.1	113	8570143
48.5772565732	2.3	116	8570144
48.9242573062	0	117	8570145
51.0682509074	0.1	113	8570169
51.1282586286	2.3	116	8570170
51.5952546874	0	117	8570175
53.6182571927	0.1	115	8570191
53.6782548556	2.2	116	8570192
54.1552589068	0	117	8570193
56.0652565936	0.1	113	8570207
56.1252542565	2.3	116	8570208
56.4362563918	0	117	8570209
58.6152528206	0.1	113	8570217
58.6752605418	2.4	116	8570218
59.0562582741	0	117	8570219
61.2682559321	0.1	114	8570231
61.328253595	2.4	116	8570232
61.6382599602	0	117	8570233
63.9222548137	0.1	113	8570265
63.9822524766	2.4	116	8570266
64.409256799	0	117	8570267
66.5752579252	0.1	114	8570287
66.6352555881	2.3	116	8570288
67.0892563442	0	117	8570289
69.1252541522	0.1	113	8570313
69.1852518151	2.4	116	8570314
69.6302604655	0	117	8570315
71.7782572637	0.1	115	8570335
71.8382549266	2.2	116	8570336
72.331251649	0	117	8570337
74.2252566645	0.1	113	8570365
74.2852543274	2.2	116	8570368
74.7222565839	0	117	8570371
76.6722560654	0.1	113	8570395
76.7322537283	2.4	116	8570396
77.0832576582	0	117	8570397
79.3262549469	0.1	113	8570403
79.3862526098	2.3	116	8570404
79.7242511789	0	117	8570405
81.876251174	0.1	114	8570423
81.9362588952	2.4	116	8570424
82.2552573661	0	117	8570425
84.5292542855	0.1	113	8570435
84.5892519484	2.4	116	8570436
84.9162568132	0	117	8570437
87.1822573969	0.1	113	8570467
87.2422550598	2.4	116	8570468
87.6682535539	0	117	8570477
89.8352605084	0.1	113	8570509
89.8962539414	2.4	116	8570510
90.1892517487	0	117	8570511
92.48925939	0.1	113	8570525
92.5492570529	2.4	116	8570526
92.8402532617	0	117	8570527
95.1422524432	0.1	114	8570545
95.2022601644	2.3	116	8570546
95.7112596164	0	117	8570547
97.6922587285	0.1	115	8570559
97.7522563914	2.2	116	8570564
98.2132577131	0	117	8570569
100.1392581294	0.1	113	8570591
100.1992557923	2.4	116	8570594
100.4742593298	0	117	8570595
102.7922511826	0.1	115	8570623
102.8522589037	2.3	116	8570624
103.4752589444	0	117	8570625
105.343253238	0.1	113	8570649
105.4032609591	2.2	116	8570650
105.6862608323	0	117	8570651
107.7902526388	0.1	113	8570665
107.85026036	2.2	116	8570666
108.1372533718	0	117	8570667
110.2372520397	0.1	114	8570679
110.2972597609	2.3	116	8570680
110.7692547867	0	117	8570681
112.787258325	0.1	113	8570707
112.8472559879	2.2	116	8570708
113.8402600566	0	117	8570713
115.2342577258	0.1	113	8570749
115.2942553887	2.3	116	8570750
115.7712594399	0	117	8570751
117.7842539529	0.1	115	8570769
117.8442516158	2.4	116	8570770
118.4632585177	0	117	8570775
120.4382528344	0.1	113	8570791
120.4982605556	2.4	116	8570792
120.7942557315	0	117	8570793
123.0912559459	0.1	113	8570807
123.1512536088	2.3	116	8570808
123.5252507756	0	117	8570809
125.6412521729	0.1	113	8570843
125.7012598941	2.2	116	8570844
125.9862513075	0	117	8570845
128.0882515738	0.1	113	8570867
128.148259295	2.2	116	8570868
128.4272559712	0	117	8570869
130.5352509747	0.1	115	8570899
130.5952586958	2.3	116	8570900
131.1392509172	0	117	8570901
133.08525726	0.1	113	8570919
133.1452549229	2.3	116	8570920
133.4292606244	0	117	8570921
135.6362593154	0.1	114	8570935
135.6962569783	2.3	116	8570936
135.9812584499	0	117	8570937
138.1862555424	0.1	113	8570961
138.2462532053	2.3	116	8570962
138.6122540364	0	117	8570963
140.7362517694	0.1	113	8570987
140.7962594906	2.3	116	8570988
141.0742603967	0	117	8570989
143.2862580547	0.1	114	8571019
143.3462557176	2.4	116	8571020
143.6842542866	0	117	8571021
145.9392511079	0.1	115	8571049
145.9992588291	2.2	116	8571050
146.5262525508	0	117	8571051
148.3862605671	0.1	113	8571075
148.44625823	2.3	116	8571076
148.68725471	0	117	8571077
150.9372525642	0.1	114	8571103
150.9972602854	2.2	116	8571104
151.3892517219	0	117	8571105
153.384251965	0.1	113	8571131
153.4442596862	2.3	116	8571132
153.7402548621	0	117	8571133
155.9342582504	0.1	113	8571151
155.9942559133	2.4	116	8571152
156.2912569175	0	117	8571153
158.5872513036	0.1	115	8571183
158.6472590247	2.2	116	8571184
159.1422573457	0	117	8571185
161.0342607627	0.1	113	8571215
161.0942584256	2.3	116	8571216
161.3732551018	0	117	8571217
163.5842569897	0.1	113	8571225
163.6442546526	2.4	116	8571226
164.0742563436	0	117	8571227
166.2382558713	0.1	113	8571253
166.2982535342	2.2	116	8571254
166.5162567774	0	117	8571255
168.6852552722	0.1	115	8571281
168.7452529351	2.2	116	8571282
169.1672582904	0	117	8571283
171.132254673	0.1	115	8571305
171.1922523359	2.4	116	8571306
171.6882564852	0	117	8571307
173.7852577845	0.1	113	8571333
173.8452554474	2.2	116	8571334
174.380255563	0	117	8571335
176.2322571853	0.1	113	8571357
176.2922548482	2.2	116	8571358
176.5002601573	0	117	8571359
178.6792565862	0.1	113	8571377
178.7392542491	2.4	116	8571378
179.0012524257	0	117	8571385
181.3332554678	0.1	113	8571409
181.3932531307	2.4	116	8571410
181.5912605057	0	117	8571411
183.9862585793	0.1	113	8571445
184.0462562422	2.3	116	8571446
184.2622578869	0	117	8571447
186.5362548063	0.1	114	8571469
186.5962524692	2.3	116	8571470
187.0132588575	0	117	8571471
189.0862510333	0.1	113	8571495
189.1462587545	2.3	116	8571496
189.6032568792	0	117	8571499
191.6362573186	0.1	113	8571521
191.6962549815	2.4	116	8571522
192.0852591077	0	117	8571523
194.2902562002	0.1	114	8571553
194.3502538631	2.2	116	8571554
194.7652586529	0	117	8571555
196.737255601	0.1	113	8571569
196.797253264	2.3	116	8571570
197.255257217	0	117	8571571
199.2872518281	0.1	115	8571593
199.3472595493	2.4	116	8571594
199.966256393	0	117	8571595
201.9402549396	0.1	114	8571603
202.0002526025	2.4	116	8571608
202.7072594295	0	117	8571613
204.593258051	0.1	113	8571635
204.6532557139	2.3	116	8571636
205.2072559277	0	117	8571637
207.1432542781	0.1	113	8571659
207.2042577693	2.4	116	8571660
207.5692527721	0	117	8571669
209.7972531596	0.1	113	8571683
209.8572508225	2.3	116	8571684
210.219258515	0	117	8571685
212.347259445	0.1	115	8571707
212.4072571079	2.3	116	8571708
213.1102607379	0	117	8571713
214.897255672	0.1	113	8571743
214.9572533349	2.4	116	8571744
215.2412590364	0	117	8571745
217.5502587835	0.1	113	8571759
217.6102564464	2.2	116	8571760
217.9012526551	0	117	8571761
219.9972581843	0.1	113	8571787
220.0572558472	2.3	116	8571788
220.3422573189	0	117	8571789
222.5482602397	0.1	114	8571807
222.6082579026	2.2	116	8571808
222.9932588319	0	117	8571809
224.9952596406	0.1	113	8571835
225.0552573035	2.2	116	8571836
225.3132522831	0	117	8571837
227.4422590414	0.1	113	8571851
227.5022567043	2.4	116	8571852
227.7542569468	0	117	8571853
230.0952520946	0.1	115	8571883
230.1552598158	2.3	116	8571884
230.6452591697	0	117	8571885
232.6452583799	0.1	114	8571909
232.7052560428	2.2	116	8571910
233.1272513399	0	117	8571911
235.0922577808	0.1	113	8571941
235.1522554437	2.4	116	8571942
235.468256546	0	117	8571943
237.7462566624	0.1	113	8571973
237.8062543253	2.4	116	8571974
238.189253656	0	117	8571975
240.3992597739	0.1	115	8572009
240.4592574368	2.4	116	8572010
240.9802564213	0	117	8572011
243.052252827	0.1	113	8572029
243.1122605482	2.4	116	8572034
243.5322542468	0	117	8572039
245.7052559385	0.1	113	8572061
245.7652536014	2.2	116	8572062
246.1722519974	0	117	8572067
248.1522553394	0.1	113	8572097
