onset	duration	trial_type	eye_onset
0.5069913056	0.1	106	4558380
0.507997134	2.2	109	4558381
2.91399897	0.1	106	4558399
2.9739966329	2.2	109	4558400
5.3609983709	0.1	106	4558406
5.4209960338	2.3	109	4558407
7.9109945979	0.1	106	4558437
7.9709922608	2.4	109	4558438
10.5649934795	0.1	106	4558464
10.6239953723	2.2	109	4558465
13.0119928803	0.1	106	4558483
13.0719905432	2.2	109	4558484
15.4589922812	0.1	106	4558498
15.5189899441	2.4	109	4558499
18.1119953927	0.1	108	4558525
18.1719930556	2.3	109	4558526
20.6619916197	0.1	108	4558556
20.7219892826	2.3	109	4558557
23.211997905	0.1	106	4558577
23.2719955679	2.4	109	4558580
25.8649909582	0.1	106	4558610
25.9249986794	2.2	109	4558611
28.3129961874	0.1	106	4558645
28.3729938504	2.4	109	4558648
30.9659892406	0.1	107	4558678
31.0259969618	2.3	109	4558679
33.515995526	0.1	106	4558697
33.5759931889	2.3	109	4558698
36.065991753	0.1	106	4558728
36.1259894159	2.4	109	4558729
38.7189948645	0.1	106	4558751
38.7789925274	2.4	109	4558752
41.372993746	0.1	106	4558762
41.4329914089	2.3	109	4558763
43.9229899731	0.1	107	4558793
43.9829976943	2.4	109	4558794
46.5759930845	0.1	106	4558808
46.6359907475	2.3	109	4558809
49.1259993699	0.1	106	4558827
49.1859970328	2.4	109	4558828
51.7789924231	0.1	107	4558834
51.838990086	2.2	109	4558835
54.2259918239	0.1	106	4558873
54.2859995451	2.3	109	4558876
56.7769938793	0.1	106	4558904
56.8369915422	2.2	109	4558905
59.2239932802	0.1	107	4558943
59.2839909431	2.3	109	4558944
61.7739895072	0.1	108	4558958
61.8339972284	2.4	109	4558959
64.4269926187	0.1	106	4558981
64.4869902816	2.3	109	4558986
66.976998904	0.1	106	4558996
67.0369965669	2.2	109	4558997
69.4249940749	0.1	108	4559019
69.4839959677	2.4	109	4559020
72.0779971864	0.1	106	4559032
72.1379948493	2.4	109	4559033
74.7309902396	0.1	106	4559061
74.7909979608	2.3	109	4559062
77.2809965249	0.1	106	4559090
77.3409941878	2.3	109	4559091
79.830992752	0.1	108	4559106
79.8909904149	2.3	109	4559110
82.3809990373	0.1	108	4559140
82.4409967002	2.2	109	4559141
84.8289942082	0.1	106	4559179
84.8889918711	2.4	109	4559180
87.4819973197	0.1	106	4559204
87.5419949826	2.3	109	4559211
90.0319935467	0.1	106	4559263
90.0919912096	2.4	109	4559266
92.6849966582	0.1	106	4559296
92.7449943211	2.2	109	4559297
95.1319960591	0.1	106	4559327
95.191993722	2.4	109	4559328
97.7859949406	0.1	107	4559350
97.8459926035	2.4	109	4559351
100.4389980521	0.1	107	4559369
100.498995715	2.3	109	4559370
102.9889942791	0.1	106	4559372
103.048991942	2.2	109	4559373
105.43599368	0.1	106	4559383
105.4959913429	2.3	109	4559384
107.985989907	0.1	106	4559406
108.0459976282	2.2	109	4559407
110.4329893079	0.1	108	4559421
110.4929970291	2.2	109	4559422
112.879998767	0.1	106	4559444
112.9399964299	2.4	109	4559445
115.5339976486	0.1	106	4559479
115.5939953115	2.4	109	4559480
118.1869907018	0.1	106	4559506
118.246998423	2.3	109	4559507
120.7369969871	0.1	106	4559541
120.79699465	2.4	109	4559542
123.3899900403	0.1	106	4559572
123.4499977615	2.4	109	4559575
126.0429931518	0.1	107	4559587
126.1029908147	2.2	109	4559588
128.490998381	0.1	108	4559606
128.5509960439	2.4	109	4559607
131.1439914342	0.1	107	4559621
131.2039991554	2.3	109	4559622
133.6939977195	0.1	106	4559640
133.7539953824	2.2	109	4559641
136.1409971204	0.1	106	4559659
136.2009947833	2.4	109	4559660
138.7939901736	0.1	106	4559686
138.8539978948	2.4	109	4559687
141.4479991134	0.1	106	4559705
141.5079967763	2.3	109	4559706
143.9979953405	0.1	106	4559732
144.0579930034	2.4	109	4559735
146.6509984519	0.1	108	4559762
146.7109961149	2.2	109	4559763
149.0979978528	0.1	107	4559786
149.1579955157	2.4	109	4559791
151.750990906	0.1	106	4559821
151.8109986272	2.3	109	4559826
154.3009971913	0.1	106	4559844
154.3609948542	2.3	109	4559845
156.8519891884	0.1	107	4559863
156.9119969096	2.2	109	4559864
159.2989986476	0.1	106	4559870
159.3589963105	2.3	109	4559873
161.8489948746	0.1	108	4559913
161.9089925375	2.2	109	4559914
164.2959942755	0.1	106	4559936
164.3559919384	2.4	109	4559937
166.9489973869	0.1	106	4559963
167.0089950498	2.4	109	4559964
169.6029962685	0.1	107	4559990
169.6629939314	2.4	109	4559991
172.2559893217	0.1	106	4560017
172.3159970429	2.2	109	4560018
174.7029987808	0.1	106	4560036
174.7629964437	2.2	109	4560037
177.1499981817	0.1	106	4560055
177.2099958446	2.4	109	4560056
179.8029912349	0.1	107	4560086
179.8629989561	2.4	109	4560087
182.4559943464	0.1	106	4560113
182.5159920093	2.4	109	4560114
185.109993228	0.1	108	4560138
185.1699908909	2.4	109	4560141
187.7629963394	0.1	106	4560159
187.8229940023	2.3	109	4560160
190.3129925665	0.1	106	4560178
190.3729902294	2.3	109	4560179
192.8629988518	0.1	106	4560197
192.9229965147	2.2	109	4560198
195.3099982526	0.1	108	4560212
195.3699959155	2.2	109	4560213
197.7569976535	0.1	106	4560239
197.8169953164	2.2	109	4560240
200.2049928244	0.1	106	4560266
200.2649904873	2.2	109	4560267
202.6519922253	0.1	106	4560273
202.7119898882	2.3	109	4560274
205.2019985106	0.1	108	4560302
205.2619961735	2.3	109	4560304
207.7519947376	0.1	107	4560321
