onset	duration	trial_type	eye_onset
0.5067615416	0.1	125	27273811
0.5077573117	2.3	128	27273812
2.9977558758	0.1	125	27273848
3.057763597	2.4	128	27273849
8.6647639629	0.1	125	27273926
8.7247616258	2.2	128	27273927
11.1117633637	0.1	125	27273959
11.1717610266	2.4	128	27273960
13.7647564169	0.1	125	27273980
13.8247641381	2.2	128	27273981
16.2117558178	0.1	125	27274021
16.271763539	2.2	128	27274022
18.659761047	0.1	127	27274038
18.7197587099	2.2	128	27274039
21.1067604479	0.1	125	27274065
21.1667581108	2.2	128	27274066
23.5537598487	0.1	125	27274092
23.6137575116	2.3	128	27274093
26.1037560757	0.1	125	27274119
26.1637637969	2.4	128	27274122
28.7567591872	0.1	125	27274152
28.8167568501	2.2	128	27274153
31.2037585881	0.1	125	27274193
31.263756251	2.3	128	27274194
33.7537548151	0.1	125	27274216
33.8137625363	2.4	128	27274217
39.4217586722	0.1	125	27274288
39.4817563351	2.4	128	27274289
42.0747617837	0.1	126	27274313
42.1347594466	2.3	128	27274318
44.6247580107	0.1	126	27274346
44.6847556736	2.2	128	27274347
47.0717574116	0.1	127	27274377
47.1317550745	2.4	128	27274380
49.7247605231	0.1	125	27274407
49.784758186	2.2	128	27274409
52.1717599239	0.1	126	27274427
52.2317575868	2.2	128	27274432
54.6197550949	0.1	125	27274450
54.6797628161	2.4	128	27274451
57.2727582064	0.1	126	27274473
57.3327558693	2.4	128	27274474
59.9257613178	0.1	125	27274496
59.9857589808	2.3	128	27274497
62.4757575449	0.1	125	27274523
62.5357552078	2.3	128	27274524
65.0257638302	0.1	125	27274542
65.0857614931	2.2	128	27274543
70.4867581483	0.1	125	27274594
70.5467558112	2.4	128	27274597
73.1407570299	0.1	125	27274625
73.2007546928	2.4	128	27274626
75.7937601414	0.1	127	27274648
75.8537578043	2.4	128	27274651
78.4467632529	0.1	125	27274669
78.5067609158	2.2	128	27274672
80.8937626537	0.1	125	27274702
80.9537603166	2.2	128	27274703
83.3407620546	0.1	127	27274728
83.4007597175	2.3	128	27274729
85.8907582816	0.1	125	27274750
85.9507559445	2.3	128	27274751
88.441760337	0.1	125	27274777
88.5017579999	2.3	128	27274778
90.991756564	0.1	125	27274802
91.0517642852	2.3	128	27274803
93.5417628493	0.1	127	27274829
93.6017605122	2.4	128	27274830
96.1947559025	0.1	127	27274854
96.2547636237	2.2	128	27274855
101.6557602789	0.1	125	27274915
101.7157579418	2.3	128	27274917
104.205756506	0.1	125	27274937
104.2657642272	2.4	128	27274938
106.8587596174	0.1	125	27274964
106.9197631087	2.4	128	27274965
109.512758499	0.1	126	27274991
109.5727561619	2.3	128	27274992
112.0627547261	0.1	125	27275021
112.1227624472	2.3	128	27275023
114.6127610114	0.1	126	27275053
114.6727586743	2.3	128	27275054
117.1627572384	0.1	125	27275074
117.2227549013	2.3	128	27275075
119.7127635237	0.1	125	27275101
119.7727611866	2.2	128	27275102
122.1607586946	0.1	125	27275144
122.2207563576	2.2	128	27275145
124.6077580955	0.1	125	27275169
124.6677557584	2.2	128	27275172
127.0547574964	0.1	125	27275214
127.1147551593	2.4	128	27275215
129.7077606078	0.1	126	27275251
129.7677582707	2.3	128	27275252
132.2577568349	0.1	125	27275292
132.3177544978	2.2	128	27275293
134.7047562357	0.1	127	27275323
134.7647639569	2.3	128	27275324
