onset	duration	trial_type	eye_onset
0.5066786873	0.1	125	15564156
0.5086802858	2.2	128	15564157
2.8936804253	0.1	125	15564172
2.9536780882	2.3	128	15564175
5.4436766523	0.1	125	15564195
5.5036743152	2.3	128	15564196
7.9936728793	0.1	125	15564222
8.0536806005	2.4	128	15564223
10.6466759908	0.1	125	15564249
10.7066736537	2.4	128	15564250
13.2996791023	0.1	125	15564272
13.3596767652	2.2	128	15564273
15.7476742733	0.1	125	15564295
15.8076719362	2.2	128	15564296
18.1946736741	0.1	127	15564304
18.2546813953	2.4	128	15564307
20.8476767856	0.1	125	15564337
20.9076744485	2.3	128	15564338
23.3976730126	0.1	125	15564356
23.4576807338	2.3	128	15564357
25.9476792979	0.1	125	15564363
26.0076769608	2.4	128	15564364
28.6016781795	0.1	125	15564366
28.6606800723	2.4	128	15564367
31.254681291	0.1	125	15564369
31.3146789539	2.3	128	15564370
36.8186724353	0.1	125	15564385
36.8786801565	2.2	128	15564386
39.2656818944	0.1	126	15564392
39.3256795573	2.2	128	15564393
41.7126812953	0.1	127	15564399
41.7726789582	2.4	128	15564400
47.379679324	0.1	126	15564417
47.4396769869	2.2	128	15564420
49.8266787249	0.1	125	15564431
49.8866763878	2.3	128	15564435
52.3766749519	0.1	125	15564445
52.4366726148	2.4	128	15564446
55.0306738335	0.1	127	15564456
55.0896757263	2.2	128	15564457
57.4776732343	0.1	127	15564477
57.5376809555	2.2	128	15564478
59.9246726352	0.1	125	15564488
59.9846803564	2.3	128	15564489
62.4746789205	0.1	125	15564495
62.5346765834	2.4	128	15564496
65.1276719737	0.1	125	15564510
65.1876796949	2.2	128	15564511
70.5886763501	0.1	126	15564530
70.648674013	2.3	128	15564531
73.1386725771	0.1	126	15564553
73.1986802983	2.3	128	15564554
75.6886788625	0.1	125	15564568
75.7486765254	2.4	128	15564569
78.342677744	0.1	125	15564579
78.4026754069	2.3	128	15564580
80.8926739711	0.1	125	15564606
80.9526816922	2.4	128	15564607
83.5456770825	0.1	125	15564625
83.6056747454	2.4	128	15564626
86.198680194	0.1	127	15564644
86.2586778569	2.2	128	15564645
91.6596745121	0.1	125	15564676
91.719672175	2.3	128	15564677
94.2096807975	0.1	125	15564701
94.2696784604	2.3	128	15564702
96.7606727946	0.1	125	15564724
96.8196746874	2.3	128	15564725
99.3106790799	0.1	125	15564747
99.3706767428	2.4	128	15564748
101.9636721331	0.1	125	15564766
102.0236798543	2.4	128	15564767
104.6166752446	0.1	125	15564793
104.6766729075	2.3	128	15564794
107.1666815299	0.1	125	15564804
107.2266791928	2.3	128	15564805
109.7166777569	0.1	125	15564821
109.7766754198	2.4	128	15564824
112.3706766385	0.1	126	15564854
112.4306743014	2.4	128	15564855
115.02367975	0.1	126	15564885
115.0836774129	2.2	128	15564886
117.4706791508	0.1	127	15564904
117.5306768137	2.4	128	15564905
120.123672204	0.1	125	15564907
120.1836799252	2.4	128	15564908
125.7906802911	0.1	125	15564943
125.850677954	2.3	128	15564944
128.3406765181	0.1	125	15564954
128.400674181	2.2	128	15564955
130.7876759189	0.1	127	15564985
130.8486794102	2.4	128	15564986
133.4416748005	0.1	125	15565012
133.5016724634	2.2	128	15565013
135.8886742014	0.1	127	15565035
135.9486718643	2.2	128	15565036
138.3356736022	0.1	125	15565050
138.3956813234	2.3	128	15565055
140.8856798875	0.1	125	15565073
140.9456775504	2.4	128	15565074
143.5386729407	0.1	126	15565112
143.5986806619	2.2	128	15565113
145.9856723416	0.1	125	15565127
146.0456800628	2.2	128	15565128
148.4336775708	0.1	125	15565138
148.4936752337	2.4	128	15565139
151.0866806823	0.1	126	15565149
151.1466783452	2.2	128	15565150
153.5336800832	0.1	125	15565184
153.5936777461	2.2	128	15565185
155.980679484	0.1	126	15565203
156.0406771469	2.3	128	15565204
158.530675711	0.1	125	15565226
158.5906733739	2.4	128	15565227
161.1836788225	0.1	125	15565241
161.2436764854	2.3	128	15565242
166.7476800251	0.1	126	15565277
166.807677688	2.2	128	15565278
169.1956751961	0.1	127	15565296
169.255672859	2.2	128	15565297
171.6426745969	0.1	125	15565299
171.7026722598	2.2	128	15565304
174.0896739978	0.1	125	15565310
174.1496817189	2.4	128	15565311
176.7426771092	0.1	125	15565321
176.8026747721	2.3	128	15565322
179.2926733363	0.1	125	15565324
179.3526810575	2.3	128	15565325
181.8426796216	0.1	125	15565347
181.9026772845	2.2	128	15565348
184.2906747925	0.1	127	15565362
184.3496766853	2.3	128	15565363
186.8406810778	0.1	126	15565373
186.9006787407	2.4	128	15565374
189.493674131	0.1	127	15565376
189.5536818522	2.4	128	15565377
192.1466772425	0.1	125	15565383
192.2066749054	2.3	128	15565384
194.6966734695	0.1	125	15565394
194.7566811907	2.4	128	15565395
197.349676581	0.1	125	15565417
197.4096742439	2.3	128	15565418
199.9006786364	0.1	125	15565432
199.9606762993	2.4	128	15565433
202.5536716896	0.1	125	15565435
202.6136794108	2.2	128	15565436
205.0006811488	0.1	125	15565454
205.0606788117	2.2	128	15565455
210.4616754669	0.1	125	15565478
210.5216731298	2.2	128	15565479
212.9086748677	0.1	126	15565497
212.9686725307	2.4	128	15565498
215.5616779792	0.1	125	15565516
215.6216756421	2.3	128	15565517
221.1256791818	0.1	127	15565552
221.1856768447	2.2	128	15565553
223.5726785827	0.1	127	15565567
223.6326762456	2.3	128	15565568
226.1236806381	0.1	125	15565586
226.183678301	2.2	128	15565591
228.5706800389	0.1	127	15565605
228.6306777018	2.3	128	15565606
231.120676266	0.1	125	15565624
231.1806739289	2.4	128	15565625
236.7876742947	0.1	125	15565644
236.8476719576	2.3	128	15565645
239.33768058	0.1	125	15565647
239.3976782429	2.2	128	15565648
241.7846799809	0.1	125	15565678
241.8446776438	2.2	128	15565679
244.2316793817	0.1	126	15565693
244.2916770446	2.2	128	15565694
246.6786787826	0.1	125	15565696
246.7386764455	2.3	128	15565697
249.229680838	0.1	126	15565719
249.2896785009	2.3	128	15565720
251.779677065	0.1	125	15565722
251.8396747279	2.4	128	15565723
254.4326801765	0.1	125	15565741
254.4926778394	2.3	128	15565742
256.9826764035	0.1	125	15565752
257.0426740664	2.3	128	15565753
259.5326726305	0.1	126	15565771
259.5926803517	2.3	128	15565772
262.0826789159	0.1	125	15565790
262.1426765788	2.2	128	15565791
264.5306740868	0.1	125	15565805
264.5906717497	2.3	128	15565806
267.0806803721	0.1	125	15565816
267.140678035	2.3	128	15565821
269.6306765991	0.1	126	15565851
269.690674262	2.4	128	15565852
272.2836797106	0.1	127	15565858
272.3436773735	2.4	128	15565859
277.9506777394	0.1	125	15565902
278.0106754023	2.4	128	15565903
280.6036808509	0.1	125	15565909
280.6636785138	2.2	128	15565910
283.0506802517	0.1	127	15565912
283.1106779146	2.4	128	15565913
285.7046791333	0.1	125	15565935
285.7646767962	2.3	128	15565936
288.2546753603	0.1	125	15565938
288.3146730232	2.4	128	15565939
290.9076784718	0.1	125	15565953
290.9676761347	2.2	128	15565954
293.3546778727	0.1	127	15565956
293.4146755356	2.4	128	15565961
296.0076809841	0.1	125	15565979
296.067678647	2.4	128	15565980
298.6616798657	0.1	125	15565982
298.7216775286	2.4	128	15565983
301.3146729189	0.1	125	15565989
301.3746806401	2.2	128	15565990
303.7616723198	0.1	125	15566000
303.821680041	2.2	128	15566001
306.2086717206	0.1	125	15566015
306.2686794418	2.4	128	15566016
308.8616748321	0.1	127	15566026
308.921672495	2.3	128	15566027
311.4116811174	0.1	125	15566049
311.4716787803	2.3	128	15566050
313.9626731145	0.1	125	15566060
314.0226808357	2.3	128	15566065
316.5126793998	0.1	126	15566087
316.5726770627	2.2	128	15566088
318.9596788007	0.1	126	15566098
319.0196764636	2.4	128	15566099
321.6126718539	0.1	125	15566113
321.6726795751	2.2	128	15566114
324.059681313	0.1	125	15566124
324.1196789759	2.2	128	15566125
326.5066807139	0.1	125	15566141
326.5666783768	2.3	128	15566144
329.057672711	0.1	125	15566170
329.1166746038	2.2	128	15566171
331.5046721119	0.1	125	15566181
331.5646798331	2.2	128	15566182
333.951681571	0.1	125	15566192
334.0116792339	2.4	128	15566193
