onset	duration	trial_type	eye_onset
0.676874094	0.1	113	7360678
0.7378775853	2.4	116	7360679
1.6398743021	0	117	7360692
3.3298772055	0.1	113	7360708
3.3898748684	2.4	116	7360709
3.8098786253	0	117	7360713
5.9828702587	0.1	113	7360742
6.0428779799	2.4	116	7360743
6.4098745811	0	117	7360744
8.6358733702	0.1	113	7360764
8.6958710331	2.4	116	7360765
8.9908704388	0	117	7360770
11.2898722517	0.1	113	7360794
11.3498799729	2.2	116	7360795
11.8718747276	0	117	7360800
13.7368716526	0.1	113	7360830
13.7968793738	2.4	116	7360831
14.5318784046	0	117	7360835
16.3898747641	0.1	115	7360856
16.449872427	2.2	116	7360861
17.1828799176	0	117	7360870
18.8368741649	0.1	113	7360884
18.8968718278	2.2	116	7360889
19.5438709337	0	117	7360894
21.2838735658	0.1	115	7360906
21.3438712287	2.4	116	7360907
21.8648702133	0	117	7360912
23.9368766773	0.1	113	7360924
23.9968743402	2.2	116	7360925
24.5748736191	0	117	7360930
26.3838760781	0.1	113	7360946
26.443873741	2.3	116	7360947
27.0558700192	0	117	7360956
28.9348781335	0.1	113	7360968
28.9948757964	2.2	116	7360969
29.585870378	0	117	7360970
31.3818775344	0.1	114	7360988
31.4418751973	2.3	116	7360989
32.3268734145	0	117	7360990
33.9318737614	0.1	113	7361002
33.9918714243	2.3	116	7361003
34.63787476	0	117	7361004
36.4818699884	0.1	113	7361020
36.5418777096	2.3	116	7361021
37.1378712583	0	117	7361022
39.0318762738	0.1	113	7361040
39.0918739367	2.3	116	7361041
39.6888733137	0	117	7361042
41.5818725008	0.1	113	7361054
41.6418701637	2.3	116	7361055
42.2898750979	0	117	7361059
44.1318787861	0.1	114	7361074
44.191876449	2.3	116	7361075
44.8498793173	0	117	7361080
46.6828707832	0.1	113	7361092
46.7428785044	2.4	116	7361093
47.4908728379	0	117	7361100
49.3358738947	0.1	113	7361106
49.3958715576	2.2	116	7361107
50.0308711308	0	117	7361108
51.7828732955	0.1	115	7361118
51.8428709584	2.2	116	7361119
52.5318734574	0	117	7361124
54.2298726964	0.1	113	7361138
54.2898703593	2.4	116	7361141
55.0318800139	0	117	7361148
56.8828758079	0.1	113	7361162
56.9428734708	2.4	116	7361163
57.6638713706	0	117	7361168
59.5358789194	0.1	113	7361186
59.5958765823	2.3	116	7361187
60.3538789082	0	117	7361192
62.0858751464	0.1	115	7361208
62.1458728093	2.4	116	7361209
62.8948729712	0	117	7361214
64.739874028	0.1	113	7361226
64.7998716909	2.4	116	7361227
65.4558729607	0	117	7361228
67.3928771394	0.1	113	7361252
67.4528748024	2.2	116	7361253
68.1368783343	0	117	7361257
69.8398765403	0.1	114	7361270
69.8998742032	2.3	116	7361271
70.6178747344	0	117	7361272
72.3898727673	0.1	114	7361280
72.4498704302	2.2	116	7361281
73.1578730273	0	117	7361286
74.8368721682	0.1	113	7361300
74.8968698311	2.3	116	7361301
75.5398757982	0	117	7361302
77.3868784535	0.1	113	7361316
77.4468761164	2.3	116	7361317
78.2098774093	0	117	7361323
79.9368746805	0.1	115	7361350
79.9968723434	2.4	116	7361351
80.6908738095	0	117	7361352
82.5908735621	0.1	114	7361368
82.650871225	2.2	116	7361369
83.510874607	0	117	7361378
85.037872963	0.1	114	7361396
85.0978706259	2.4	116	7361397
85.7718762237	0	117	7361398
87.6908760744	0.1	113	7361410
87.7508737373	2.3	116	7361411
88.2328767556	0	117	7361414
90.2408723015	0.1	113	7361436
90.3008699644	2.4	116	7361437
90.8948719728	0	117	7361438
92.8938754129	0.1	113	7361450
92.9538730758	2.2	116	7361451
93.6058711487	0	117	7361452
95.3408748138	0.1	113	7361468
95.4008724767	2.2	116	7361469
96.0068740177	0	117	7361470
97.7878742146	0.1	113	7361482
97.8478718776	2.4	116	7361483
98.4978784102	0	117	7361484
100.4418730962	0.1	115	7361496
100.5018707591	2.3	116	7361497
101.1778779554	0	117	7361502
102.9918793815	0.1	113	7361514
103.0518770444	2.4	116	7361515
103.8988750654	0	117	7361516
105.6448724347	0.1	113	7361526
105.7048700976	2.2	116	7361527
106.3288759667	0	117	7361528
108.0918718356	0.1	113	7361538
108.1518795568	2.2	116	7361539
109.1908700991	0	117	7361553
110.5388712364	0.1	113	7361568
110.5988789576	2.2	116	7361573
111.5428790677	0	117	7361582
112.9858706373	0.1	114	7361594
113.0458783585	2.3	116	7361595
113.7438729632	0	117	7361596
115.5358769226	0.1	113	7361604
115.5958745855	2.4	116	7361605
116.2338715273	0	117	7361606
118.1898758042	0.1	115	7361622
118.2498734671	2.3	116	7361623
