onset	duration	trial_type	eye_onset
0.5072151986	0.1	125	11082491
0.5082109687	2.3	128	11082492
2.9992153612	0.1	125	11082522
3.0592130241	2.2	128	11082523
5.4462147621	0.1	125	11082545
5.506212425	2.2	128	11082546
7.8932141629	0.1	125	11082578
7.9532118258	2.2	128	11082581
10.3402135638	0.1	125	11082613
10.4002112267	2.3	128	11082614
12.8902097908	0.1	125	11082644
12.9502074537	2.3	128	11082645
15.4412118462	0.1	125	11082677
15.5012095091	2.4	128	11082678
18.0942149577	0.1	127	11082710
18.1542126206	2.3	128	11082713
20.6442111847	0.1	127	11082751
20.7042088476	2.4	128	11082754
23.2972142962	0.1	125	11082786
23.3572119591	2.3	128	11082787
25.8472105232	0.1	125	11082817
25.9072081861	2.3	128	11082820
28.3972168086	0.1	125	11082848
28.4572144715	2.3	128	11082851
30.9472130356	0.1	125	11082883
31.0072106985	2.3	128	11082884
33.498215091	0.1	125	11082908
33.5582127539	2.2	128	11082909
35.9452144918	0.1	125	11082937
36.0052121547	2.4	128	11082938
38.598207545	0.1	126	11082982
38.6582152662	2.4	128	11082983
41.2512106565	0.1	125	11083005
41.3112083194	2.3	128	11083006
46.8152118591	0.1	126	11083069
46.875209522	2.2	128	11083072
49.26221126	0.1	125	11083096
49.3222089229	2.4	128	11083097
54.9292092887	0.1	127	11083144
54.9892170099	2.4	128	11083145
57.5822124002	0.1	125	11083183
57.6422100631	2.2	128	11083184
60.0292118011	0.1	125	11083210
60.089209464	2.2	128	11083213
62.4762112019	0.1	125	11083245
62.5362088648	2.3	128	11083246
65.0272132573	0.1	125	11083276
65.0872109202	2.4	128	11083277
67.6802163688	0.1	126	11083301
67.7402140317	2.3	128	11083304
70.2302125958	0.1	125	11083340
70.2902102587	2.3	128	11083341
72.7802088228	0.1	127	11083377
72.840216544	2.4	128	11083378
75.4332119343	0.1	126	11083406
75.4932095972	2.2	128	11083407
77.8802113352	0.1	125	11083429
77.9402089981	2.2	128	11083432
80.327210736	0.1	125	11083452
80.3872083989	2.2	128	11083453
82.7742101369	0.1	125	11083481
82.8342077998	2.3	128	11083482
85.3252121923	0.1	127	11083514
85.3852098552	2.3	128	11083515
87.8752084193	0.1	127	11083561
87.9352161405	2.2	128	11083562
90.3222078202	0.1	125	11083586
90.3822155414	2.4	128	11083587
92.9752109317	0.1	126	11083621
93.0352085946	2.2	128	11083622
98.4362153081	0.1	125	11083697
98.496212971	2.4	128	11083698
101.0892083613	0.1	125	11083730
101.1492160825	2.3	128	11083731
103.6392146466	0.1	126	11083747
103.6992123095	2.3	128	11083748
106.1892108736	0.1	125	11083790
106.2492085365	2.3	128	11083791
108.7392171589	0.1	125	11083813
108.7992148218	2.2	128	11083814
114.200211477	0.1	125	11083885
114.2602091399	2.4	128	11083886
116.8542103586	0.1	125	11083918
116.9142080215	2.4	128	11083919
119.5072134701	0.1	127	11083949
119.567211133	2.2	128	11083950
121.954212871	0.1	126	11083977
122.0142105339	2.2	128	11083979
124.4012122718	0.1	125	11084005
124.4612099347	2.3	128	11084006
126.9512084988	0.1	125	11084032
127.01121622	2.3	128	11084035
129.5012147841	0.1	125	11084065
129.561212447	2.2	128	11084066
134.9622091023	0.1	125	11084127
135.0222168235	2.3	128	11084128
137.5122153876	0.1	126	11084155
137.5722130505	2.4	128	11084157
140.1652084408	0.1	125	11084181
140.225216162	2.4	128	11084182
142.8192173806	0.1	127	11084218
142.8792150435	2.2	128	11084219
145.2662167815	0.1	125	11084259
145.3262144444	2.4	128	11084260
147.9192098347	0.1	125	11084296
147.9792074976	2.4	128	11084297
150.5722129462	0.1	125	11084323
150.6322106091	2.2	128	11084324
153.019212347	0.1	126	11084348
153.0792100099	2.3	128	11084349
158.5832135496	0.1	125	11084396
158.6432112125	2.2	128	11084398
161.0302129505	0.1	127	11084420
161.0902106134	2.4	128	11084421
163.6832160619	0.1	125	11084454
163.7432137249	2.2	128	11084455
166.1302154628	0.1	126	11084487
166.1902131257	2.4	128	11084488
168.7842143444	0.1	125	11084510
168.8442120073	2.4	128	11084513
171.4372174559	0.1	125	11084537
171.4972151188	2.4	128	11084540
174.0902105091	0.1	125	11084564
174.150208172	2.4	128	11084565
176.7432136205	0.1	127	11084603
176.8032112834	2.2	128	11084604
179.1902130214	0.1	125	11084632
179.2502106843	2.3	128	11084634
184.754214224	0.1	125	11084706
184.8142118869	2.2	128	11084707
187.2012136248	0.1	125	11084751
187.2612112877	2.4	128	11084752
189.8542167363	0.1	127	11084788
