onset	duration	trial_type	eye_onset
0.6934930652	0.1	113	7487859
0.7544864982	2.2	116	7487860
1.3294884086	0	117	7487867
3.1404924661	0.1	113	7487885
3.200490129	2.2	116	7487886
3.4394950688	0	117	7487887
5.588487637	0.1	113	7487907
5.6484953582	2.4	116	7487910
5.930489403	0	117	7487913
8.2414907485	0.1	113	7487937
8.3014884114	2.2	116	7487938
8.6204868823	0	117	7487939
10.6884901494	0.1	113	7487967
10.7484878123	2.4	116	7487968
11.0304919153	0	117	7487969
13.3414932609	0.1	113	7487993
13.4014909238	2.4	116	7487994
13.7114872307	0	117	7487995
15.9944963723	0.1	113	7488023
16.0544940352	2.2	116	7488024
16.3514950395	0	117	7488025
18.4414957732	0.1	113	7488049
18.5014934361	2.3	116	7488050
18.802487579	0	117	7488051
20.9924877703	0.1	113	7488075
21.0524954915	2.3	116	7488076
21.3624917984	0	117	7488077
23.5424940556	0.1	113	7488101
23.6024917185	2.4	116	7488102
23.9324939519	0	117	7488103
26.1954871088	0.1	113	7488135
26.25549483	2.3	116	7488136
26.5334957361	0	117	7488137
28.7454933941	0.1	115	7488157
28.805491057	2.4	116	7488158
29.4134941965	0	117	7488159
31.3984965056	0.1	114	7488175
31.4584941685	2.2	116	7488176
31.8134912372	0	117	7488177
33.8454959065	0.1	114	7488195
33.9054935694	2.2	116	7488196
34.3454931945	0	117	7488197
36.2934910774	0.1	115	7488213
36.3534887403	2.4	116	7488214
36.6654866457	0	117	7488215
38.9464941889	0.1	113	7488239
39.0064918518	2.2	116	7488240
39.4354877144	0	117	7488241
41.3934935898	0.1	113	7488263
41.4534912527	2.3	116	7488264
41.8264926493	0	117	7488265
43.9434898168	0.1	113	7488297
44.0034874797	2.2	116	7488298
44.2274955183	0	117	7488299
46.3904892176	0.1	115	7488327
46.4504868805	2.3	116	7488328
46.9784964889	0	117	7488329
48.9404955029	0.1	113	7488355
49.0004931659	2.2	116	7488356
49.4184953243	0	117	7488357
51.3884906739	0.1	114	7488381
